allegro_E,allegro_F,vasp_E,vasp_F
-1142.6535212704516,1.0599721607329735,-1138.69835741,0.45001247475264505
-1142.691298404206,1.031136943088476,-1138.78432587,0.32198550599832904
-1142.7567983413014,0.976169836747864,-1138.8750235,0.3365175686364681
-1142.835916872743,0.901637033336874,-1138.91746107,0.2324689760183066
-1142.9172468745762,0.8167531832665847,-1138.94591074,0.31133930155699907
-1142.9943903899552,0.727421232049235,-1138.96850835,0.07415401058607687
-1143.0638330906586,0.6301985983335056,-1138.97036277,0.16780924359224075
-1143.122610566356,0.5131472830272916,-1138.97906401,0.06849587602184527
-1143.172908002847,0.3506852448325345,-1138.97963311,0.06372857873042517
-1143.2117891808662,0.2674755500111282,-1138.98331331,0.03181929499533263
-1143.2400075275302,0.2972438389411932,-1138.98491106,0.08068991705907251
-1143.2579821378754,0.32061001451067617,-1138.98788245,0.03649375158845689
-1143.262308950841,0.3071745896851087,-1138.98964592,0.09828679623428571
-1143.2702635880341,0.2819097508606095,-1138.99244567,0.04978816410553817
-1143.2806426921104,0.24774608909346377,-1138.99431548,0.07714302929623648
-1143.2920547419378,0.20840069394158464,-1138.99759503,0.05574782934787686
-1143.3032449434272,0.16772071448174491,-1139.00068693,0.06020727422828574
-1143.3133292266339,0.12910955910669414,-1139.00413263,0.035999268923132315
-1143.3218896458409,0.09898819921264915,-1139.00681406,0.05430781986049523
-1143.3295838098538,0.134410990100572,-1139.00514733,0.18465495701442733
-1143.336352161411,0.1730904432807025,-1139.00730972,0.08589339391361829
-1143.3424506263118,0.20205984137654331,-1139.01020527,0.032917041027407064
-1143.3483496425833,0.21809794184263448,-1139.01165568,0.049513040039973304
-1143.3546738786108,0.21892343862806862,-1139.01326114,0.020185180826537075
-1143.3621662772941,0.2034263893352533,-1139.01361634,0.046710070584403955
-1143.371381184908,0.17228927015798787,-1139.01419991,0.015196792490522467
-1143.3820463398515,0.12877580074592324,-1139.01420608,0.021501060578492402
-1143.3928062846953,0.07874930110294967,-1139.01446026,0.012429163648451974
-1143.4020128658194,0.04152987121620987,-1139.01447167,0.022274284904346537
-1143.4089175773302,0.04674611739817653,-1139.01473139,0.006225541100980701
-1143.414056401522,0.05259283355031915,-1139.01475349,0.011334941464339372
-1143.4184643597614,0.07242472971010512,-1139.01491085,0.004576425898012553
-1143.4224675860623,0.07131425531362086,-1139.01494553,0.00893191496824729
-1143.4243347124152,0.051374271116259626,-1139.01508116,0.005927085118335994
-1143.4250378482138,0.05033802266809233,-1139.01513857,0.010388096649531137
-1143.4260950524995,0.048461308644884876,-1139.01523393,0.004976725128033494
-1143.427063278105,0.04590566403748661,-1139.01529201,0.004802225942206385
-1143.4277011261515,0.04250998242012726,-1139.01533238,0.0027468327215176393
-1143.4280724168655,0.03791525860944073,-1139.01534536,0.002945454124579094
-1143.4283660148694,0.032070712629273794,-1139.01535839,0.0014616959328122934
-1143.4286829140838,0.02537200242742375,-1139.01535938,0.0016815733703885775
-1143.4290385709837,0.017807275322671377,-1139.01536784,0.001408253173261115
-1143.4293350564603,0.013943824567761347,-1139.01536805,0.0017978759690256722
-1143.4295196993755,0.015122250313601497,,
-1143.4295645811003,0.014160377746659783,,
-1143.4296441689285,0.012368360400428357,,
-1143.4297413197337,0.010021658499257676,,
-1143.4298373070505,0.007584802286473376,,
